depth,width,num_parameters,R_test,eq_error,test_error
3,29,3022,40,34.07200241088867,172.6072540283203
3,30,3216,5,0.10820145159959793,0.06611356139183044
3,30,3216,10,0.7811739444732666,1.620364785194397
3,30,3216,20,5.520003318786621,24.974424362182617
3,30,3216,40,26.322933197021484,170.06832885742188
3,31,3416,5,0.0972454622387886,0.05794791132211685
3,31,3416,10,0.8140304684638977,1.5095031261444092
3,31,3416,20,6.748999118804932,25.32954216003418
3,31,3416,40,32.26549530029297,176.52932739257812
3,32,3622,5,0.09738991409540176,0.05967820808291435
3,32,3622,10,0.8081935048103333,1.796873688697815
3,32,3622,20,6.09479284286499,27.071300506591797
3,32,3622,40,28.787372589111328,176.3218994140625
3,33,3834,5,0.10342583060264587,0.06013563647866249
3,33,3834,10,0.6938365697860718,1.3588019609451294
3,33,3834,20,5.115213394165039,23.6429500579834
3,33,3834,40,22.626033782958984,166.1322784423828
3,34,4052,5,0.08879362791776657,0.0521322600543499
3,34,4052,10,0.8163092732429504,1.4829872846603394
3,34,4052,20,6.636941432952881,24.15804100036621
3,34,4052,40,31.02604103088379,167.60629272460938
3,35,4276,5,0.08815161883831024,0.054481737315654755
3,35,4276,10,0.7051047086715698,1.4817405939102173
3,35,4276,20,5.855830192565918,26.53708839416504
3,35,4276,40,29.165525436401367,184.98939514160156
3,36,4506,5,0.0750473290681839,0.0441102609038353
3,36,4506,10,0.6378040909767151,1.1922893524169922
3,36,4506,20,5.437701225280762,21.711923599243164
3,36,4506,40,28.054323196411133,157.0157470703125
4,1,28,5,0.00014424232358578593,3.126802682876587
4,1,28,10,0.00014460645616054535,12.410079002380371
4,1,28,20,0.00014370800636243075,50.188438415527344
4,1,28,40,0.00014496313815470785,200.5586395263672
4,2,58,5,0.39049002528190613,2.909120798110962
4,2,58,10,0.6289324164390564,11.942352294921875
4,2,58,20,1.2294740676879883,49.45138168334961
4,2,58,40,3.444960355758667,199.5212860107422
4,3,96,5,0.0003976883599534631,3.126415729522705
4,3,96,10,0.000394188187783584,12.464310646057129
4,3,96,20,0.00039008897147141397,49.9132080078125
4,3,96,40,0.00039354804903268814,199.6454620361328
4,4,142,5,0.9748889207839966,2.4444053173065186
4,4,142,10,1.4709703922271729,10.85484790802002
4,4,142,20,2.3151767253875732,47.928932189941406
4,4,142,40,3.9838082790374756,198.68124389648438
4,5,196,5,1.2426687479019165,2.241142749786377
4,5,196,10,2.75052809715271,9.719990730285645
4,5,196,20,5.2717390060424805,45.64093780517578
4,5,196,40,13.16561222076416,197.92674255371094
4,6,258,5,0.00021185351943131536,3.1228256225585938
4,6,258,10,0.00021423527505248785,12.51321792602539
4,6,258,20,0.0006184320081956685,49.971675872802734
4,6,258,40,0.005021328572183847,199.6103973388672
4,7,328,5,1.4126113653182983,1.8010010719299316
4,7,328,10,4.903146743774414,8.413575172424316
4,7,328,20,16.447399139404297,43.74749755859375
4,7,328,40,56.477699279785156,204.8704071044922
4,8,406,5,1.40061354637146,1.4511665105819702
4,8,406,10,4.370993614196777,7.255648136138916
4,8,406,20,14.373307228088379,41.86039352416992
4,8,406,40,47.34130096435547,200.642822265625
4,9,492,5,1.344181776046753,2.115607738494873
4,9,492,10,4.563187599182129,9.196593284606934
4,9,492,20,15.971983909606934,45.34895706176758
4,9,492,40,57.75489044189453,211.12649536132812
4,10,586,5,1.40838623046875,1.1985137462615967
4,10,586,10,4.523330211639404,6.022392749786377
4,10,586,20,15.925602912902832,37.52302551269531
4,10,586,40,60.70592498779297,200.11717224121094
4,11,688,5,1.4625508785247803,1.2133877277374268
4,11,688,10,4.689955234527588,6.001101970672607
4,11,688,20,15.796876907348633,36.98011779785156
4,11,688,40,60.59975051879883,196.6406707763672
4,12,798,5,1.4481526613235474,1.149516224861145
4,12,798,10,4.522815704345703,5.643702030181885
4,12,798,20,14.792521476745605,34.543434143066406
4,12,798,40,53.942935943603516,185.08531188964844
4,13,916,5,1.4204399585723877,1.1384880542755127
4,13,916,10,4.619405746459961,5.710899829864502
4,13,916,20,16.14226531982422,35.36566162109375
4,13,916,40,65.39595794677734,195.46298217773438
4,14,1042,5,1.3822401762008667,1.1426864862442017
4,14,1042,10,4.382623672485352,5.750584602355957
4,14,1042,20,13.929773330688477,36.42430114746094
4,14,1042,40,46.79660415649414,196.90626525878906
4,15,1176,5,1.421929121017456,1.1197535991668701
4,15,1176,10,4.595264911651611,5.472373008728027
4,15,1176,20,15.709912300109863,33.835784912109375
4,15,1176,40,60.22359848022461,185.09530639648438
4,16,1318,5,0.30799341201782227,0.19509196281433105
4,16,1318,10,2.1465420722961426,2.4473047256469727
4,16,1318,20,12.630348205566406,29.109874725341797
4,16,1318,40,50.36005783081055,179.22853088378906
4,17,1468,5,0.3364775478839874,0.22169232368469238
4,17,1468,10,2.2336723804473877,2.2716643810272217
4,17,1468,20,13.823362350463867,27.38080596923828
4,17,1468,40,54.694183349609375,181.23269653320312
4,18,1626,5,0.2741212248802185,0.1732194870710373
4,18,1626,10,1.837954044342041,2.165074586868286
4,18,1626,20,11.063956260681152,25.816024780273438
4,18,1626,40,48.34015655517578,168.39076232910156
4,19,1792,5,0.2846909165382385,0.18277136981487274
4,19,1792,10,1.9129114151000977,2.340446949005127
4,19,1792,20,12.876693725585938,30.788475036621094
4,19,1792,40,63.16502380371094,196.49691772460938
